"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","min_ma","reference_no"
399,"int",NA,NA,"Pilton","",NA,"",376.1,353.8,5954
418,"int",NA,NA,"Hemberg","",NA,"",376.1,360.7,5954
400,"int",NA,NA,"Baggy","",NA,"",376.1,360.7,5954
432,"int",NA,NA,"Conewangoan","",NA,"",376.1,360.7,5954
419,"int",NA,NA,"Nehden","",NA,"",376.1,360.7,5954
401,"int",NA,NA,"Upcott","",NA,"",376.1,360.7,5954
433,"int",NA,NA,"Conneaut","",NA,"",376.1,360.7,5954
1071,"int",NA,NA,"Late Frasnian","",NA,"",379.5,376.1,33105
1072,"int",NA,NA,"Middle Frasnian","",NA,"",382.4,379.5,33105
56,"int",1,4,"Late Devonian","",19,"#F1E19D",382.7,358.9,47900
178,"int",1,5,"Frasnian","",56,"#F2EDAD",382.7,372.2,47900
435,"int",NA,NA,"West Falls","",NA,"",383.7,376.1,5954
1073,"int",NA,NA,"Early Frasnian","",NA,"",383.7,382.4,33105
436,"int",NA,NA,"Sonyea","",NA,"",383.7,376.1,5954
410,"int",NA,NA,"Famennien","",NA,"",383.7,360.7,5954
179,"int",1,5,"Givetian","",57,"#F1E185",387.7,382.7,47900
1078,"int",NA,NA,"Early Givetian","",NA,"",388.1,383.7,33153
438,"int",NA,NA,"Taghanic","",NA,"",388.1,383.7,5954
420,"int",NA,NA,"Adorf","",NA,"",388.1,376.1,5954
411,"int",NA,NA,"Frasnien","",NA,"",388.1,376.1,5954
1077,"int",NA,NA,"Middle Givetian","",NA,"",388.1,383.7,33153
439,"int",NA,NA,"Tioughnioga","",NA,"",388.1,383.7,5954
421,"int",NA,NA,"Givet","",NA,"",388.1,383.7,5954
412,"int",NA,NA,"Givetien","",NA,"",388.1,383.7,5954
403,"int",NA,NA,"Morte","",NA,"",388.1,376.1,5954
426,"int",NA,NA,"Srbsko","",NA,"",388.1,383.7,5954
404,"int",NA,NA,"Ilfracombe","",NA,"",388.1,383.7,5954
437,"int",NA,NA,"Genesee","",NA,"",388.1,376.1,5954
1076,"int",NA,NA,"Late Givetian","",NA,"",388.1,383.7,33153
440,"int",NA,NA,"Cazenovian","",NA,"",391.9,383.7,5954
422,"int",NA,NA,"Eifel","",NA,"",391.9,388.1,5954
427,"int",NA,NA,"Chotec","",NA,"",391.9,388.1,5954
441,"int",NA,NA,"Southwood","",NA,"",391.9,388.1,5954
405,"int",NA,NA,"Hangman","",NA,"",391.9,388.1,5954
57,"int",1,4,"Middle Devonian","",19,"#F1C868",393.3,382.7,47900
180,"int",1,5,"Eifelian","",57,"#F1D576",393.3,387.7,47900
1074,"int",NA,NA,"Late Emsian","",NA,"",402.5,391.9,33153
181,"int",1,5,"Emsian","",58,"#E5D075",407.6,393.3,47900
406,"int",NA,NA,"Lynton","",NA,"",409.1,388.1,5954
429,"int",NA,NA,"Zlichovian","",NA,"",409.1,391.9,5954
443,"int",NA,NA,"Deer Park","",NA,"",409.1,391.9,5954
413,"int",NA,NA,"Couvinien","",NA,"",409.1,383.7,5954
423,"int",NA,NA,"Ems","",NA,"",409.1,391.9,5954
1075,"int",NA,NA,"Early Emsian","",NA,"",409.1,402.5,33153
428,"int",NA,NA,"Daleje","",NA,"",409.1,388.1,5954
442,"int",NA,NA,"Sawkill","",NA,"",409.1,391.9,5954
182,"int",1,5,"Pragian","",58,"#E5C468",410.8,407.6,47900
407,"int",NA,NA,"Brecon","",NA,"",412.3,391.9,5954
430,"int",NA,NA,"Pragian (Czechoslovakia)","",NA,"",412.3,391.9,5954
414,"int",NA,NA,"Coblencien","",NA,"",412.3,391.9,5954
424,"int",NA,NA,"Siegen","",NA,"",412.3,409.1,5954
415,"int",NA,NA,"Gedinnine","",NA,"",416,412.3,5954
425,"int",NA,NA,"Gedinne","",NA,"",416,412.3,5954
444,"int",NA,NA,"Helderberg","",NA,"",416,391.9,5954
408,"int",NA,NA,"Ditton","",NA,"",416,412.3,5954
431,"int",NA,NA,"Lochkovian (Czechoslovakia)","",NA,"",416,409.1,5954
409,"int",NA,NA,"Downton","",NA,"",418.7,412.3,5954
19,"int",1,3,"Devonian","D",3,"#CB8C37",419.2,358.9,47900
58,"int",1,4,"Early Devonian","",19,"#E5AC4D",419.2,393.3,47900
183,"int",1,5,"Lochkovian","",58,"#E5B75A",419.2,410.8,47900
841,"int",NA,NA,"Kuressaare","",NA,"",421.3,419.2,15443
370,"int",NA,NA,"Whitcliffe","",NA,"",421.3,419.2,5954
371,"int",NA,NA,"Leintwardine","",NA,"",421.3,419.2,5954
385,"int",NA,NA,"Hamra","",NA,"",421.3,419.2,5954
386,"int",NA,NA,"Burgsvik","",NA,"",421.3,419.2,5954
387,"int",NA,NA,"Eke","",NA,"",421.3,419.2,5954
1095,"int",NA,NA,"Kuimov","",NA,"",422.9,419.2,42596
842,"int",NA,NA,"Paadla","",NA,"",422.9,419.2,15443
1091,"int",NA,NA,"Salina","",NA,"",422.9,419.2,42596
394,"int",NA,NA,"Cayugan","",NA,"",422.9,419.2,5954
372,"int",NA,NA,"Bringewood","",NA,"",422.9,421.3,5954
373,"int",NA,NA,"Elton","",NA,"",422.9,421.3,5954
384,"int",NA,NA,"Sundre","",NA,"",423,419.2,5954
367,"int",NA,NA,"Red Downtonian","",NA,"",423,419.2,5954
381,"int",NA,NA,"Pridolischichten","",NA,"",423,419.2,5954
839,"int",NA,NA,"Ohesaare","",NA,"",423,419.2,15443
368,"int",NA,NA,"Temeside Shales","",NA,"",423,419.2,5954
784,"int",NA,NA,"unnamed Pridoli stage","",NA,"",423,419.2,15443
840,"int",NA,NA,"Kaugetuma","",NA,"",423,419.2,15443
369,"int",NA,NA,"Downton Castle","",NA,"",423,419.2,5954
59,"int",1,4,"Pridoli","",20,"#E6F5E1",423,419.2,47900
3001,"int",1,5,"Pridoli","",59,"#E6F5E1",423,419.2,47900
374,"int",NA,NA,"Wenlock (England)","",NA,"",425.4,422.9,5954
186,"int",NA,NA,"Gleedonian","",NA,"",425.4,422.9,5954
388,"int",NA,NA,"Hemse","",NA,"",425.4,419.2,5954
375,"int",NA,NA,"Tickwood","",NA,"",425.4,422.9,5954
382,"int",NA,NA,"Kopaninaschichten","",NA,"",425.4,419.2,5954
184,"int",1,5,"Ludfordian","",60,"#D9F0DF",425.6,423,47900
187,"int",NA,NA,"Whitwellian","",NA,"",426.2,425.4,5954
1096,"int",NA,NA,"Chagyrka","",NA,"",426.2,422.9,42596
843,"int",NA,NA,"Rootsikula","",NA,"",426.2,422.9,15443
60,"int",1,4,"Ludlow","",20,"#BFE6CF",427.4,423,47900
185,"int",1,5,"Gorstian","",60,"#CCECDD",427.4,425.6,47900
845,"int",NA,NA,"Jaani","",NA,"",428.2,426.2,15443
389,"int",NA,NA,"Mulde","",NA,"",428.2,422.9,5954
376,"int",NA,NA,"Coalbrookdale","",NA,"",428.2,422.9,5954
390,"int",NA,NA,"Slite","",NA,"",428.2,426.2,5954
1092,"int",NA,NA,"Lockport","",NA,"",428.2,422.9,42596
395,"int",NA,NA,"Lockportian","",NA,"",428.2,422.9,5954
377,"int",NA,NA,"Buildwas","",NA,"",428.2,426.2,5954
391,"int",NA,NA,"Hogklint","",NA,"",428.2,426.2,5954
844,"int",NA,NA,"Jaagarahu","",NA,"",428.2,422.9,15443
392,"int",NA,NA,"Upper Visby","",NA,"",428.2,426.2,5954
785,"int",1,5,"Homerian","",61,"#CCEBD1",430.5,427.4,47900
61,"int",1,4,"Wenlock","",20,"#B3E1C2",433.4,427.4,47900
188,"int",1,5,"Sheinwoodian","",61,"#BFE6C3",433.4,430.5,47900
393,"int",NA,NA,"Lower Visby","",NA,"",436,428.2,5954
1097,"int",NA,NA,"Chesnokovka","",NA,"",436,426.2,42596
396,"int",NA,NA,"Tonawandan","",NA,"",436,426.2,5954
1098,"int",NA,NA,"Polaty","",NA,"",436,428.2,42596
378,"int",NA,NA,"Woolhope","",NA,"",436,428.2,5954
189,"int",1,5,"Telychian","",62,"#BFE6D1",438.5,433.4,47900
397,"int",NA,NA,"Ontarian","",NA,"",439,428.2,5954
1099,"int",NA,NA,"Syrovaty","",NA,"",439,428.2,42596
379,"int",NA,NA,"Wych","",NA,"",439,428.2,5954
846,"int",NA,NA,"Adavere","",NA,"",439,428.2,15443
1093,"int",NA,NA,"Clinton","",NA,"",439,426.2,42596
190,"int",1,5,"Aeronian","",62,"#B3E1C2",440.8,438.5,47900
383,"int",NA,NA,"Litenschichten","",NA,"",443.4,422.9,5954
1094,"int",NA,NA,"Medina","",NA,"",443.4,436,42596
1090,"int",NA,NA,"Niagaran","",NA,"",443.4,422.9,42596
398,"int",NA,NA,"Alexandrian","",NA,"",443.4,436,5954
1100,"int",NA,NA,"Vtorye Utesy","",NA,"",443.4,436,42596
380,"int",NA,NA,"Cowleigh Park","",NA,"",443.4,439,5954
847,"int",NA,NA,"Raikkula","",NA,"",443.4,436,15443
848,"int",NA,NA,"Juuru","",NA,"",443.4,439,15443
20,"int",1,3,"Silurian","S",3,"#B3E1B6",443.4,419.2,47900
62,"int",1,4,"Llandovery","",20,"#99D7B3",443.4,433.4,47900
191,"int",1,5,"Rhuddanian","",62,"#A6DCB5",443.4,440.8,47900
192,"int",1,5,"Hirnantian","",29,"#A6DBAB",445.2,443.4,47900
1011,"int",NA,NA,"late Late Ordovician","",NA,"",445.6,443.7,19119
592,"int",NA,NA,"Kosovian","",NA,"",445.6,443.7,8960
353,"int",NA,NA,"Gamach","",NA,"",445.6,443.7,5954
326,"int",NA,NA,"Kosov","",NA,"",445.6,443.7,5954
336,"int",NA,NA,"Porkuni","",NA,"",445.6,443.7,5954
610,"int",NA,NA,"Wufeng","",NA,"",449.5,443.7,8960
606,"int",NA,NA,"Qiantianjiang","",NA,"",449.5,443.7,8960
565,"int",NA,NA,"Richmondian","",NA,"",449.5,443.7,8960
597,"int",NA,NA,"Bolindian","",NA,"",449.5,443.7,8960
593,"int",NA,NA,"Kralodvorian","",NA,"",449.5,445.6,8960
638,"int",NA,NA,"Ashgillian","",NA,"",449.5,443.7,8960
621,"int",NA,NA,"Chientangkiangian","",NA,"",449.5,443.7,8960
354,"int",NA,NA,"Richmond","",NA,"",449.5,445.6,5954
63,"int",NA,NA,"Ashgill","",NA,"",449.5,443.7,5954
194,"int",NA,NA,"Cautleyan","",NA,"",449.5,445.6,5954
327,"int",NA,NA,"Kraluv Dvur","",NA,"",449.5,445.6,5954
195,"int",NA,NA,"Pusgillian","",NA,"",449.5,445.6,5954
337,"int",NA,NA,"Pirgu","",NA,"",449.5,445.6,5954
564,"int",NA,NA,"Gamachian","",NA,"",449.5,443.7,8960
196,"int",NA,NA,"Onnian","",NA,"",452,449.5,5954
338,"int",NA,NA,"Vormsi","",NA,"",452,445.6,5954
574,"int",NA,NA,"Harju","",NA,"",452,443.7,8960
339,"int",NA,NA,"Nabala","",NA,"",452,449.5,5954
566,"int",NA,NA,"Maysvillian","",NA,"",452,449.5,8960
355,"int",NA,NA,"Maysville","",NA,"",452,445.6,5954
560,"int",NA,NA,"Cincinnatian","",NA,"",452.5,443.7,8960
1008,"int",1,5,"Katian","",29,"#99D69F",453,445.2,47900
578,"int",NA,NA,"Cheneyan","",NA,"",455.8,452,8960
786,"int",NA,NA,"middle Late Ordovician","",NA,"",455.8,445.6,15443
588,"int",NA,NA,"Woolstonian","",NA,"",455.8,452,8960
197,"int",NA,NA,"Actonian","",NA,"",455.8,452,5954
193,"int",NA,NA,"Rawtheyan","",NA,"",455.8,445.6,5954
198,"int",NA,NA,"Marshbrookian","",NA,"",455.8,452,5954
340,"int",NA,NA,"Rakvere","",NA,"",455.8,452,5954
577,"int",NA,NA,"Streffordian","",NA,"",455.8,449.5,8960
598,"int",NA,NA,"Eastonian","",NA,"",456.1,449.5,8960
200,"int",NA,NA,"Soudleyan","",NA,"",457.5,455.8,5954
329,"int",NA,NA,"Zahorany","",NA,"",457.5,455.8,5954
201,"int",NA,NA,"Harnagian","",NA,"",457.5,455.8,5954
343,"int",NA,NA,"Johvi","",NA,"",457.5,449.5,5954
579,"int",NA,NA,"Burrellian","",NA,"",457.5,455.8,8960
561,"int",NA,NA,"Mohawkian","",NA,"",457.5,452.5,8960
357,"int",NA,NA,"Sherman","",NA,"",457.5,454,5954
330,"int",NA,NA,"Vinice","",NA,"",457.5,455.8,5954
358,"int",NA,NA,"Kirkfield","",NA,"",457.5,455.8,5954
359,"int",NA,NA,"Rockland","",NA,"",457.5,455.8,5954
199,"int",NA,NA,"Longvillian","",NA,"",457.5,455.8,5954
341,"int",NA,NA,"Oandu","",NA,"",457.5,452,5954
328,"int",NA,NA,"Bohdalec","",NA,"",457.5,445.6,5954
29,"int",1,4,"Late Ordovician","",21,"#7FCA93",458.4,443.4,47900
1009,"int",1,5,"Sandbian","",29,"#8CD094",458.4,453,47900
342,"int",NA,NA,"Keila","",NA,"",460.9,455.8,5954
356,"int",NA,NA,"Edenian","",NA,"",460.9,449.5,5954
647,"int",NA,NA,"Blackriveran","",NA,"",460.9,449.5,9006
642,"int",NA,NA,"Franklinian","",NA,"",460.9,449.5,9006
554,"int",NA,NA,"Trentonian","",NA,"",460.9,449.5,8960
643,"int",NA,NA,"Kirkfieldian","",NA,"",460.9,449.5,9006
611,"int",NA,NA,"Xiaoxita","",NA,"",460.9,443.7,8960
203,"int",NA,NA,"Late Llandeilo","",NA,"",460.9,449.5,5954
616,"int",NA,NA,"Shikou","",NA,"",460.9,443.7,8960
787,"int",NA,NA,"early Late Ordovician","",NA,"",460.9,455.8,15443
607,"int",NA,NA,"Aijiashan","",NA,"",460.9,443.7,8960
589,"int",NA,NA,"Volfreyan","",NA,"",460.9,457.5,8960
644,"int",NA,NA,"Rocklandian","",NA,"",460.9,449.5,9006
202,"int",NA,NA,"Costonian","",NA,"",460.9,457.5,5954
344,"int",NA,NA,"Idavere","",NA,"",460.9,455.8,5954
580,"int",NA,NA,"Aurelucian","",NA,"",460.9,457.5,8960
594,"int",NA,NA,"Berounian","",NA,"",460.9,449.5,8960
617,"int",NA,NA,"Hanjiang","",NA,"",460.9,449.5,8960
639,"int",NA,NA,"Caradocian","",NA,"",460.9,449.5,8960
331,"int",NA,NA,"Letna","",NA,"",460.9,455.8,5954
567,"int",NA,NA,"Chatfieldian","",NA,"",460.9,449.5,8960
599,"int",NA,NA,"Gisbornian","",NA,"",460.9,456.1,8960
622,"int",NA,NA,"Neichiashanian","",NA,"",460.9,449.5,8960
557,"int",NA,NA,"Wildernessian","",NA,"",460.9,449.5,8960
590,"int",NA,NA,"Dobrotivian","",NA,"",460.9,457.5,8960
204,"int",NA,NA,"Middle Llandeilo","",NA,"",460.9,449.5,5954
345,"int",NA,NA,"Kukruse","",NA,"",460.9,449.5,5954
627,"int",NA,NA,"Haljala","",NA,"",460.9,449.5,8960
332,"int",NA,NA,"Liben","",NA,"",460.9,457.5,5954
568,"int",NA,NA,"Turinian","",NA,"",460.9,449.5,8960
558,"int",NA,NA,"Ashbyan","",NA,"",460.9,449.5,8960
646,"int",NA,NA,"Shermanian","",NA,"",460.9,449.5,9006
64,"int",NA,NA,"Caradoc","",NA,"",460.9,449.5,5954
360,"int",NA,NA,"Black River","",NA,"",460.9,457.5,5954
347,"int",NA,NA,"Lasnamagi","",NA,"",463.5,460.9,5954
348,"int",NA,NA,"Aseri","",NA,"",463.5,460.9,5954
575,"int",NA,NA,"Viru","",NA,"",463.5,452,8960
206,"int",NA,NA,"Late Llanvirn","",NA,"",463.5,460.9,5954
205,"int",NA,NA,"Early Llandeilo","",NA,"",466,460.9,5954
333,"int",NA,NA,"Dobrotiva","",NA,"",466,460.9,5954
65,"int",NA,NA,"Llandeilo","",NA,"",466,449.5,5954
361,"int",NA,NA,"Chazy","",NA,"",466,457.5,5954
207,"int",NA,NA,"Early Llanvirn","",NA,"",466,463.5,5954
334,"int",NA,NA,"Sarka","",NA,"",466,466,5954
66,"int",NA,NA,"Llanvirn","",NA,"",466,460.9,5954
630,"int",NA,NA,"Aluoja","",NA,"",466,460.9,8960
581,"int",NA,NA,"Llandeilian","",NA,"",466,460.9,8960
591,"int",NA,NA,"Oretanian","",NA,"",466,460.9,8960
346,"int",NA,NA,"Uhaku","",NA,"",466,460.9,5954
582,"int",NA,NA,"Abereiddian","",NA,"",466,460.9,8960
556,"int",1,5,"Darriwilian","",30,"#74C69C",467.3,458.4,47900
648,"int",NA,NA,"Chazyan","",NA,"",468.1,460.9,9006
362,"int",NA,NA,"Whiterock","",NA,"",468.1,460.9,5954
612,"int",NA,NA,"Guniu","",NA,"",468.1,460.9,8960
649,"int",NA,NA,"Marmor","",NA,"",468.1,460.9,9006
349,"int",NA,NA,"Kunda","",NA,"",468.1,463.5,5954
595,"int",NA,NA,"Llanvirnian","",NA,"",468.1,460.9,8960
618,"int",NA,NA,"Hulo","",NA,"",468.1,460.9,8960
623,"int",NA,NA,"Zhejiangian","",NA,"",468.1,460.9,8960
600,"int",NA,NA,"Yapeenian","",NA,"",468.9,466,8960
30,"int",1,4,"Middle Ordovician","",21,"#4DB47E",470,458.4,47900
1079,"int",1,5,"Dapingian","",30,"#66C092",470,467.3,47900
633,"int",NA,NA,"Langevoja","",NA,"",471.8,468.1,8960
569,"int",NA,NA,"Rangerian","",NA,"",471.8,468.1,8960
583,"int",NA,NA,"Fennian","",NA,"",471.8,466,8960
634,"int",NA,NA,"Vaana","",NA,"",471.8,468.1,8960
635,"int",NA,NA,"Saka","",NA,"",471.8,468.1,8960
562,"int",NA,NA,"Whiterockian","",NA,"",471.8,457.5,8960
788,"int",NA,NA,"early Middle Ordovician","",NA,"",471.8,468.1,15443
631,"int",NA,NA,"Valaste","",NA,"",471.8,466,8960
350,"int",NA,NA,"Volkhov","",NA,"",471.8,468.1,5954
640,"int",NA,NA,"Volkhovian","",NA,"",471.8,468.1,8960
632,"int",NA,NA,"Hunderum","",NA,"",471.8,466,8960
601,"int",NA,NA,"Castlemainian","",NA,"",472,468.9,8960
602,"int",NA,NA,"Chewtonian","",NA,"",473.9,472,8960
603,"int",NA,NA,"Bendigonian","",NA,"",476.8,473.9,8960
1010,"int",1,5,"Floian","",31,"#41B087",477.7,470,47900
619,"int",NA,NA,"Ningkuo","",NA,"",478.6,468.1,8960
641,"int",NA,NA,"Latorpian","",NA,"",478.6,471.8,8960
624,"int",NA,NA,"Yushanian","",NA,"",478.6,468.1,8960
570,"int",NA,NA,"Blackhillsian","",NA,"",478.6,471.8,8960
584,"int",NA,NA,"Whitlandian","",NA,"",478.6,471.8,8960
335,"int",NA,NA,"Klabava","",NA,"",478.6,466,5954
626,"int",NA,NA,"Valhallan","",NA,"",478.6,468.1,8960
585,"int",NA,NA,"Moridunian","",NA,"",478.6,471.8,8960
67,"int",NA,NA,"Arenig","",NA,"",478.6,466,5954
608,"int",NA,NA,"Yangtzi","",NA,"",478.6,460.9,8960
363,"int",NA,NA,"Cassinian","",NA,"",478.6,468.1,5954
613,"int",NA,NA,"Dawan","",NA,"",478.6,468.1,8960
636,"int",NA,NA,"Billingen","",NA,"",478.6,471.8,8960
789,"int",NA,NA,"late Early Ordovician","",NA,"",478.6,471.8,15443
614,"int",NA,NA,"Daobaowan","",NA,"",478.6,468.1,8960
596,"int",NA,NA,"Arenigian","",NA,"",478.6,468.1,8960
351,"int",NA,NA,"Latorp","",NA,"",484.5,471.8,5954
637,"int",NA,NA,"Hunneberg","",NA,"",484.5,471.8,8960
651,"int",NA,NA,"Demingian","",NA,"",485.4,478.6,9006
790,"int",NA,NA,"Mansian","",NA,"",485.4,485,15443
587,"int",NA,NA,"Cressagian","",NA,"",485.4,478.6,8960
365,"int",NA,NA,"Deming","",NA,"",485.4,478.6,5954
615,"int",NA,NA,"Lianghekou","",NA,"",485.4,478.6,8960
629,"int",NA,NA,"Pakerort","",NA,"",485.4,484.5,8960
800,"int",NA,NA,"Datsonian","",NA,"",485.4,485,15443
620,"int",NA,NA,"Hunjiang","",NA,"",485.4,468.1,8960
366,"int",NA,NA,"Gasconadian","",NA,"",485.4,477.7,5954
625,"int",NA,NA,"Ichangian","",NA,"",485.4,478.6,8960
828,"int",NA,NA,"Ungurian","",NA,"",485.4,478.6,15443
571,"int",NA,NA,"Tulean","",NA,"",485.4,471.8,8960
576,"int",NA,NA,"Oeland","",NA,"",485.4,463.5,8960
645,"int",NA,NA,"Canadian","",NA,"",485.4,468.1,9006
572,"int",NA,NA,"Stairsian","",NA,"",485.4,478.6,8960
604,"int",NA,NA,"Lancefieldian","",NA,"",485.4,476.8,8960
650,"int",NA,NA,"Jeffersonian","",NA,"",485.4,468.1,9006
586,"int",NA,NA,"Migneintian","",NA,"",485.4,478.6,8960
68,"int",NA,NA,"Tremadoc","",NA,"",485.4,477.7,5954
609,"int",NA,NA,"Yichang","",NA,"",485.4,478.6,8960
364,"int",NA,NA,"Jefferson","",NA,"",485.4,468.1,5954
573,"int",NA,NA,"Skullrockian","",NA,"",485.4,478.6,8960
605,"int",NA,NA,"Warendian","",NA,"",485.4,478.6,8960
628,"int",NA,NA,"Varangu","",NA,"",485.4,484.5,8960
21,"int",1,3,"Ordovician","O",3,"#009270",485.4,443.4,47900
31,"int",1,4,"Early Ordovician","",21,"#1A9D6F",485.4,470,47900
559,"int",1,5,"Tremadocian","",31,"#33A97E",485.4,477.7,47900
563,"int",NA,NA,"Ibexian","",NA,"",488.3,471.8,8960
1112,"int",1,5,"Stage 10","",780,"#E6F5C9",489.5,485.4,47900
801,"int",NA,NA,"Payntonian","",NA,"",494,485.4,15443
1113,"int",1,5,"Jiangshanian","",780,"#D9F0BB",494,489.5,47900
780,"int",1,4,"Furongian","",22,"#B3E095",497,485.4,47900
1114,"int",1,5,"Paibian","",780,"#CCEBAE",497,494,47900
822,"int",NA,NA,"Sunwaptan","",NA,"",498.5,485.4,15443
791,"int",NA,NA,"Ketyan","",NA,"",498.5,485.4,15443
1085,"int",NA,NA,"Niuchehean","",NA,"",498.5,485.4,40570
810,"int",NA,NA,"Taoyuanian","",NA,"",498.5,485.4,15443
792,"int",NA,NA,"Yurakian","",NA,"",498.5,485.4,15443
829,"int",NA,NA,"Batyrbaian","",NA,"",498.5,485.4,15443
802,"int",NA,NA,"Iverian","",NA,"",498.5,494,15443
830,"int",NA,NA,"Aksayan","",NA,"",498.5,485.4,15443
1087,"int",1,5,"Guzhangian","",1109,"#CCDFAA",500.5,497,47900
69,"int",NA,NA,"Merioneth","",NA,"",501,485.4,5954
804,"int",NA,NA,"Mindyallan","",NA,"",501,498.5,15443
795,"int",NA,NA,"Tavgian","",NA,"",501,485.4,15443
209,"int",NA,NA,"Maentwrogian","",NA,"",501,485.4,5954
823,"int",NA,NA,"Steptoean","",NA,"",501,485.4,15443
352,"int",NA,NA,"Olentian","",NA,"",501,484.5,5954
311,"int",NA,NA,"Dolgelly","",NA,"",501,485.4,5954
796,"int",NA,NA,"Nganasanian","",NA,"",501,498.5,15443
819,"int",NA,NA,"Millardan","",NA,"",501,485.4,15443
321,"int",NA,NA,"Trempealeauan","",NA,"",501,485.4,5954
312,"int",NA,NA,"Festiniogian","",NA,"",501,485.4,5954
1086,"int",NA,NA,"Paibian","",NA,"",501,498.5,40570
811,"int",NA,NA,"Waergangian","",NA,"",501,498.5,15443
793,"int",NA,NA,"Ensyan","",NA,"",501,498.5,15443
322,"int",NA,NA,"Franconian","",NA,"",501,485.4,5954
313,"int",NA,NA,"Maentwrog","",NA,"",501,485.4,5954
812,"int",NA,NA,"Youshuanian","",NA,"",501,498.5,15443
803,"int",NA,NA,"Idamean","",NA,"",501,498.5,15443
835,"int",NA,NA,"Merionethian","",NA,"",501,485.4,15443
794,"int",NA,NA,"Maduan","",NA,"",501,498.5,15443
323,"int",NA,NA,"Dresbachian","",NA,"",501,485.4,5954
208,"int",NA,NA,"Dolgellian","",NA,"",501,485.4,5954
831,"int",NA,NA,"Sakian","",NA,"",501,485.4,15443
805,"int",NA,NA,"Boomerangian","",NA,"",504,501,15443
1116,"int",1,5,"Drumian","",1109,"#BFD99D",504.5,500.5,47900
813,"int",NA,NA,"Wangcunian","",NA,"",505,501,15443
832,"int",NA,NA,"Ayusokkanian","",NA,"",505,498.5,15443
833,"int",NA,NA,"Zhanarykian","",NA,"",505,501,15443
806,"int",NA,NA,"Undillan","",NA,"",505,504,15443
797,"int",NA,NA,"Mayan","",NA,"",505,501,15443
807,"int",NA,NA,"Floran","",NA,"",507,505,15443
1109,"int",1,4,"Series 3","",22,"#A6CF86",509,497,47900
1117,"int",1,5,"Stage 5","",1109,"#B3D492",509,504.5,47900
836,"int",NA,NA,"Arcadian","",NA,"",513,501,15443
324,"int",NA,NA,"Albertian","",NA,"",513,501,5954
315,"int",NA,NA,"Gamlan","",NA,"",513,501,5954
70,"int",NA,NA,"St Davids","",NA,"",513,501,5954
814,"int",NA,NA,"Taijangian","",NA,"",513,505,15443
210,"int",NA,NA,"Menevian","",NA,"",513,501,5954
316,"int",NA,NA,"Barmouth","",NA,"",513,501,5954
824,"int",NA,NA,"Marjumian","",NA,"",513,498.5,15443
781,"int",NA,NA,"Middle Cambrian","",NA,"",513,501,15443
211,"int",NA,NA,"Solvan","",NA,"",513,501,5954
820,"int",NA,NA,"Lincolnian","",NA,"",513,498.5,15443
317,"int",NA,NA,"Hafotty","",NA,"",513,501,5954
834,"int",NA,NA,"Tyesaian","",NA,"",513,505,15443
1082,"int",NA,NA,"Wulingian","",NA,"",513,501,40570
825,"int",NA,NA,"Delamaran","",NA,"",513,505,15443
798,"int",NA,NA,"Amgan","",NA,"",513,505,15443
314,"int",NA,NA,"Clogau","",NA,"",513,501,5954
808,"int",NA,NA,"Templetonian","",NA,"",513,507,15443
1118,"int",1,5,"Stage 4","",1110,"#B3CA8E",514,509,47900
809,"int",NA,NA,"Ordian","",NA,"",516,513,15443
815,"int",NA,NA,"Duyunian","",NA,"",516,513,15443
749,"int",NA,NA,"Toyonian","",NA,"",516,513,5954
816,"int",NA,NA,"Nangaoian","",NA,"",516,513,15443
212,"int",NA,NA,"Lenian","",NA,"",516,513,5954
318,"int",NA,NA,"Rhinog","",NA,"",516,513,5954
750,"int",NA,NA,"Botomian","",NA,"",516,513,5954
1083,"int",NA,NA,"Qiandongian","",NA,"",516,513,40570
826,"int",NA,NA,"Dyeran","",NA,"",516,513,15443
213,"int",NA,NA,"Atdabanian","",NA,"",520,516,5954
319,"int",NA,NA,"Llanbedr","",NA,"",520,516,5954
837,"int",NA,NA,"Branchian","",NA,"",520,513,15443
1110,"int",1,4,"Series 2","",22,"#99C078",521,509,47900
1119,"int",1,5,"Stage 3","",1110,"#A6C583",521,514,47900
1120,"int",1,5,"Stage 2","",1111,"#A6BA80",529,521,47900
827,"int",NA,NA,"Montezuman","",NA,"",530,516,15443
214,"int",NA,NA,"Tommotian","",NA,"",530,520,5954
320,"int",NA,NA,"Dolwen","",NA,"",530,516,5954
325,"int",NA,NA,"Waucoban","",NA,"",530,513,5954
71,"int",NA,NA,"Caerfai","",NA,"",530,513,5954
782,"int",NA,NA,"Early Cambrian","",NA,"",541,513,15443
1084,"int",NA,NA,"Diandongian","",NA,"",541,516,40570
818,"int",NA,NA,"Jinnigian","",NA,"",541,516,15443
748,"int",NA,NA,"Manykaian","",NA,"",541,530,10010
838,"int",NA,NA,"Placentian","",NA,"",541,516,15443
821,"int",NA,NA,"Begadean","",NA,"",541,520,15443
817,"int",NA,NA,"Meishucunian","",NA,"",541,516,15443
799,"int",NA,NA,"Nemakit-Daldynian","",NA,"",541,530,15443
751,"int",1,1,"Phanerozoic","",0,"#9AD9DD",541,0,47900
3,"int",1,2,"Paleozoic","Pz",751,"#99C08D",541,252.17,47900
22,"int",1,3,"Cambrian","Cm",3,"#7FA056",541,485.4,47900
